WorkerId,HITTypeId,Reward,CreationTime,MaxAssignments,AssignmentId,AcceptTime,SubmitTime,WorkTimeInSeconds,Answer.surveycode,multiplier,amount,age,gender,income,AcceptTime,WorkTimeInSeconds,IPAddress,LocationLatitude,LocationLongitude,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",,
A38IH5U8105J8,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,32RIADZISS43POFO9IRZ1K9WKG3S4J,Tue Sep 25 12:17:02 PDT 2018,Tue Sep 25 12:18:44 PDT 2018,102,35081,0.29,0.1,30-39,Female,"$20,000 - $39,999",Thu Oct 11 13:37:27 PDT 2018,47,173.18.68.116,38.93479919,-92.36389923,60,19,Donald Trump,MO,Independent,A few times a year,,
A5BMKZRGHNSRT,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,32RIADZISS43POFO9IRZ1K9WKH5S4N,Tue Sep 25 12:19:57 PDT 2018,Tue Sep 25 12:22:11 PDT 2018,134,12798,0.81,0,18-29,Female,"$20,000 - $39,999",Wed Oct 10 14:00:40 PDT 2018,19,24.175.68.0,25.92210388,-97.4611969,100,0,Hillary Clinton,TX,Democrat,Never,,
A3EN54EJAR9QP0,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,32Z9ZLUT1LKI38BQH8U9B48ZSXOOH8,Tue Sep 25 12:20:13 PDT 2018,Tue Sep 25 12:22:31 PDT 2018,138,6304,1.97,1,60-69,Male,"Under $20,000",Thu Oct 11 14:31:58 PDT 2018,114,71.30.176.232,31.72479248,-83.24949646,96,28,Hillary Clinton,GA,Democrat,Never,,
A1JZ5S2U4QJYHR,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,336KAV9KYQSQIWCA4A00QR0ZHN4Y28,Tue Sep 25 12:18:04 PDT 2018,Tue Sep 25 12:19:06 PDT 2018,62,34663,0.47,1,30-39,Female,"$60,000 - $79,999",Thu Oct 11 10:33:14 PDT 2018,42,173.94.55.173,36.0670929,-80.30249786,32,90,Donald Trump,NC,Independent,Once a week,,
A2WD7K61WGL37E,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,336YQZE83VEINC6J3QENU3G4SNGM56,Tue Sep 25 12:16:54 PDT 2018,Tue Sep 25 12:38:14 PDT 2018,1280,19769,1.76,0,50-59,Female,"Under $20,000",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A2TKGUJXGAL13U,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,339ANSOTR52Z9C1VPYK14ZS585TKID,Tue Sep 25 12:19:20 PDT 2018,Tue Sep 25 12:20:14 PDT 2018,54,95580,1.61,0.2,18-29,Male,"$60,000 - $79,999",Thu Oct 11 10:34:22 PDT 2018,36,147.206.5.4,29.92889404,-90.10050201,44,9,Didn't vote,LA,Independent,Never,,
A30TF4DDN9MTER,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,33JKGHPFYCUMD1CP7QA9OKGQJ8GNMX,Tue Sep 25 12:16:25 PDT 2018,Tue Sep 25 12:22:29 PDT 2018,364,58110,0.36,0.08,18-29,Male,"$60,000 - $79,999",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A2DQZDSALB1ZZN,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,33M4IA01QG1IMB3LE4TZ8L1YR9PXRF,Tue Sep 25 12:17:12 PDT 2018,Tue Sep 25 12:20:37 PDT 2018,205,16752,0.4,0.6,50-59,Male,"$60,000 - $79,999",Fri Oct 12 08:25:36 PDT 2018,100,75.136.147.88,34.92449951,-82.31970215,60,82,Donald Trump,SC,Independent,Seldom,,
AVXEDARJC5HLU,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,33M4IA01QG1IMB3LE4TZ8L1YR9QRXA,Tue Sep 25 12:18:13 PDT 2018,Tue Sep 25 12:20:37 PDT 2018,144,13746,0.68,1,40-49,Male,"$40,000 - $59,999",Wed Oct 10 14:25:24 PDT 2018,2575,98.214.237.154,39.85830688,-88.9382019,19,0,Hillary Clinton,IL,Democrat,Never,,
A1V5VJE32G7HDE,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,33NF62TLXJ2V4NL17G51G075LKIJKO,Tue Sep 25 12:20:04 PDT 2018,Tue Sep 25 12:23:45 PDT 2018,221,50329,1.17,0,40-49,Female,"$20,000 - $39,999",Wed Oct 10 14:05:28 PDT 2018,65,50.49.214.142,41.48860168,-74.21630096,60,13,Hillary Clinton,NY,Democrat,Never,,
A3CDJ8PZX578GQ,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,33PPUNGG3857R630FMHK56H9Z9ORZ7,Tue Sep 25 12:18:15 PDT 2018,Tue Sep 25 12:20:14 PDT 2018,119,12441,1.16,0,40-49,Male,"$40,000 - $59,999",Thu Oct 11 12:32:47 PDT 2018,49,198.24.30.139,38.83070374,-77.21420288,20,53,Donald Trump,VA,Republican,A few times a year,,
A36JA3OXQQHXP7,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,33TIN5LC04A1IGX9PJFF0E8DNTE9YB,Tue Sep 25 12:17:43 PDT 2018,Tue Sep 25 12:20:41 PDT 2018,178,64740,0.66,0,18-29,Male,"Over $100,000",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A1P458P1C6JOXP,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,3483FV8BEEJOZC24YR5870G6IDB26C,Tue Sep 25 12:17:06 PDT 2018,Tue Sep 25 12:18:31 PDT 2018,85,34777,0.78,0,40-49,Male,"Over $100,000",Thu Oct 11 11:35:16 PDT 2018,74,45.37.192.180,35.98150635,-78.53919983,86,85,Hillary Clinton,NC,Democrat,A few times a year,,
A1561P9VVA3C1C,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34MAJL3QP4NZ57U9J3QYTC1KS16346,Tue Sep 25 12:19:20 PDT 2018,Tue Sep 25 12:21:40 PDT 2018,140,76983,0.98,0.2,40-49,Female,"Over $100,000",Wed Oct 10 15:28:01 PDT 2018,82,73.208.106.43,41.92050171,-88.07929993,91,84,Didn't vote,IL,Democrat,Never,,
A14YBHS8YBLDAG,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34PGFRQONOBMZNFIWUO44B108QQJWH,Tue Sep 25 12:18:04 PDT 2018,Tue Sep 25 12:19:24 PDT 2018,80,54875,0.81,0,18-29,Female,"$80,000 - $99,999",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A3PFJ6NJJQJDP3,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34Q075JO1XDMWGYTDYPDTGWAD4B01S,Tue Sep 25 12:17:13 PDT 2018,Tue Sep 25 12:18:45 PDT 2018,92,6180,0.21,0,30-39,Male,"$40,000 - $59,999",Thu Oct 11 10:41:50 PDT 2018,33,99.88.199.206,33.00669861,-117.0690002,95,0,Someone else,CA,Independent,Never,,
AMZKHOIOMIZHF,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34QN5IT0TZR47GIECJYS8QJIRBI08F,Tue Sep 25 12:19:20 PDT 2018,Tue Sep 25 12:22:11 PDT 2018,171,72209,0.15,0.15,18-29,Female,"$40,000 - $59,999",Thu Oct 11 10:42:00 PDT 2018,52,196.18.226.180,39.09970093,-94.57859802,68,56,Donald Trump,0,Independent,A few times a year,,
A1L82EA5PNL5RO,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34T446B1C0E6JJ8RTVEXACF1H12C0U,Tue Sep 25 12:17:06 PDT 2018,Tue Sep 25 12:19:07 PDT 2018,121,48209,1.29,0,40-49,Male,"$20,000 - $39,999",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A19OH5PQ7ZZ6UV,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34X6J5FLPTYHFQJWKLPYCMJEKP9QJK,Tue Sep 25 12:17:41 PDT 2018,Tue Sep 25 12:20:18 PDT 2018,157,90001,0.08,0,40-49,Female,"$20,000 - $39,999",Thu Oct 11 10:38:56 PDT 2018,98,184.21.217.196,32.19610596,-90.47530365,42,0,Donald Trump,MS,Republican,Never,,
A2MPOAEQ25ZJAD,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34YB12FSQYOG39V3KMXEY07TIWVMGP,Tue Sep 25 12:18:05 PDT 2018,Tue Sep 25 12:19:21 PDT 2018,76,63755,0.36,0,50-59,Male,"$40,000 - $59,999",Thu Oct 11 05:17:25 PDT 2018,68,131.247.56.82,28.05999756,-82.40789795,51,1,Donald Trump,FL,Independent,Never,,
A2R1TM9CS8OAL,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,34Z02EIMISDN50A2FH9NZMF55N1T0T,Tue Sep 25 12:16:26 PDT 2018,Tue Sep 25 12:17:41 PDT 2018,75,58765,0.38,0,30-39,Male,"$40,000 - $59,999",Thu Oct 11 11:02:00 PDT 2018,36,75.12.93.25,42.96589661,-85.65270233,95,9,Hillary Clinton,MI,Independent,Seldom,,
A1KXSMITOOH39B,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,354GIDR5ZB6MPRDBHFLDFBD08C500P,Tue Sep 25 12:17:06 PDT 2018,Tue Sep 25 12:18:35 PDT 2018,89,10297,1.11,0.1,30-39,Female,"$80,000 - $99,999",Wed Oct 10 13:47:32 PDT 2018,42,69.141.122.176,40.36659241,-74.64080048,36,8,Donald Trump,NY,Republican,Seldom,,
A8WIS8VNJXUS,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,358UUM7WRZ3O7WXUWRP1EMOAPGB7RV,Tue Sep 25 12:17:19 PDT 2018,Tue Sep 25 12:19:38 PDT 2018,139,88906,1.34,0.5,30-39,Male,"$60,000 - $79,999",Thu Oct 11 05:19:54 PDT 2018,2968,104.6.95.154,38.26829529,-85.48449707,70,9,Hillary Clinton,KY,Democrat,A few times a year,,
A26XF8O4XRL8JA,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,35DR22AR5DKQ39IJ3ES3QNYILVAX3C,Tue Sep 25 12:18:51 PDT 2018,Tue Sep 25 12:20:48 PDT 2018,117,99508,0.99,0.1,40-49,Female,"$60,000 - $79,999",Wed Oct 10 14:04:33 PDT 2018,98,99.60.73.17,38.67089844,-121.1529007,58,11,Didn't vote,CA,Democrat,Seldom,,
A3OY12FPDU2Q0F,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,35L9RVQFCOIDGDVNDU6IAA0OAIBHUB,Tue Sep 25 12:17:19 PDT 2018,Tue Sep 25 12:19:03 PDT 2018,104,44698,1.34,0.4,18-29,Female,"$20,000 - $39,999",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
ATJVY9O4CY5EX,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,35USIKEBNRGKOYRXKA3SZOJ4T826N7,Tue Sep 25 12:17:09 PDT 2018,Tue Sep 25 12:18:09 PDT 2018,60,78285,0.15,1,18-29,Other / Prefer not to state,Prefer not to state,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A3MYPYBVHX7FQ2,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,36AHBNMV1RCDL6AQ1ZKHMAR3EESYDG,Tue Sep 25 12:16:37 PDT 2018,Tue Sep 25 12:17:52 PDT 2018,75,2304,0.17,0,40-49,Male,"Under $20,000",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
AF3EMBTO817L3,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,36W0OB37HWEU2CPXJH5QR2F3C0PZHH,Tue Sep 25 12:17:04 PDT 2018,Tue Sep 25 12:17:59 PDT 2018,55,1839,1.47,0.15,18-29,Female,"Under $20,000",Wed Oct 10 16:56:34 PDT 2018,30,71.29.27.137,29.84100342,-82.61560059,50,0,Didn't vote,FL,Something else,Never,,
A2QV0CQZ0QBMJV,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,36ZN444YTRYIZ3MANQCUBG9ES92IOS,Tue Sep 25 12:18:03 PDT 2018,Tue Sep 25 12:19:24 PDT 2018,81,80469,1.48,0,40-49,Male,"Under $20,000",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
AZTHBV93S8U3T,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,378XPAWRUCDTXZS9D77CALP93TZAIO,Tue Sep 25 12:18:46 PDT 2018,Tue Sep 25 12:22:43 PDT 2018,237,11315,0.97,0,18-29,Male,"$20,000 - $39,999",Thu Oct 11 10:32:08 PDT 2018,52,172.56.35.59,40.73510742,-73.87760162,100,0,Someone else,VA,Independent,Never,,
A2UKCO1M1MEMZW,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,37TRT2X24QRUBKH713S8HXOFYP7JB0,Tue Sep 25 12:16:37 PDT 2018,Tue Sep 25 12:19:35 PDT 2018,178,37363,1.42,0.5,50-59,Male,"Under $20,000",Sun Oct 14 09:54:23 PDT 2018,105,69.151.76.113,37.09689331,-94.50509644,70,3,Hillary Clinton,MO,Democrat,Never,,
AZEGZ5ZVM6P5A,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,37U1UTWH9VMS7A2D6WH7SMK500H8RJ,Tue Sep 25 12:17:49 PDT 2018,Tue Sep 25 12:18:31 PDT 2018,42,31224,1.61,0.4,30-39,Female,"$80,000 - $99,999",Wed Oct 10 14:55:02 PDT 2018,118,73.242.114.75,44.87350464,-93.33460236,78,16,Hillary Clinton,MN,Democrat,Seldom,,
AC680ARQG8IU1,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,37UEWGM5HT8AWAIS7B8SDCXXMUAR1H,Tue Sep 25 12:16:39 PDT 2018,Tue Sep 25 12:18:00 PDT 2018,81,17751,1.3,0,18-29,Male,"$60,000 - $79,999",Wed Oct 10 13:50:22 PDT 2018,41,73.1.138.120,26.71620178,-80.09649658,17,24,Donald Trump,FL,Republican,Seldom,,
A1WQGOFWG8P6AQ,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,37ZHEEHM6WMWOUCSL1O5WOLUJ3W73U,Tue Sep 25 12:18:40 PDT 2018,Tue Sep 25 12:19:45 PDT 2018,65,13366,0.06,0,30-39,Female,"$60,000 - $79,999",Wed Oct 10 16:47:52 PDT 2018,154,74.251.0.199,37.751297,-87.15540314,83,19,Hillary Clinton,KY,Democrat,Seldom,,
A14W9IB6HI5PJH,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,388U7OUMF71APLXABS4SZ7ENH250RO,Tue Sep 25 12:16:31 PDT 2018,Tue Sep 25 12:18:10 PDT 2018,99,36161,0.63,0,30-39,Male,"Under $20,000",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A3T0TGGN60L936,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,38F71OA9GTWAP9Z892RWGF7HHHVMFQ,Tue Sep 25 12:18:20 PDT 2018,Tue Sep 25 12:21:05 PDT 2018,165,53540,0.88,0.6,18-29,Male,"$20,000 - $39,999",Thu Oct 11 15:14:10 PDT 2018,90,108.211.153.109,38.66690063,-90.32250214,81,0,Hillary Clinton,MO,Independent,Never,,
A2YE6MQNAR8K99,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,38YMOXR4MUZABS0BCBUFV7WVMK5W6N,Tue Sep 25 12:16:49 PDT 2018,Tue Sep 25 12:18:38 PDT 2018,109,14920,2,0.1,18-29,Male,"$20,000 - $39,999",Wed Oct 10 17:55:18 PDT 2018,32,68.97.28.61,35.23300171,-97.40670013,91,0,Didn't vote,OK,Democrat,Never,,
ACI7WCUGAYSB9,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,392CY0QWG1REVACS46XLXI39BI24I4,Tue Sep 25 12:17:09 PDT 2018,Tue Sep 25 12:18:56 PDT 2018,107,72330,0.98,0.4,30-39,Female,"$40,000 - $59,999",Thu Oct 11 11:30:42 PDT 2018,46,76.77.245.27,32.54600525,-96.28520203,96,87,Hillary Clinton,TX,Democrat,Seldom,,
A3O2LEBPOPLM63,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,39GHHAVOMFRAQLWYMOIL9JI9OXQJ4U,Tue Sep 25 12:46:37 PDT 2018,Tue Sep 25 12:52:08 PDT 2018,331,41912,1.72,0.5,30-39,Female,"$80,000 - $99,999",Wed Oct 10 16:14:03 PDT 2018,63,99.127.184.68,33.99029541,-80.99970245,100,0,Hillary Clinton,SC,Democrat,Never,,
A383U9YJIBG4IA,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,39JEC7537U1MCK97WS2MV55RBYGCVP,Tue Sep 25 12:18:42 PDT 2018,Tue Sep 25 12:20:43 PDT 2018,121,65693,0.81,0,30-39,Male,"$40,000 - $59,999",Thu Oct 11 05:36:16 PDT 2018,37,70.186.178.30,30.40890503,-91.084198,100,0,Hillary Clinton,LA,Democrat,Never,,
A1QPJS7T1WORA5,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,39LNWE0K4UWDC867JCO3AM13AVPUIG,Tue Sep 25 12:17:01 PDT 2018,Tue Sep 25 12:18:00 PDT 2018,59,99925,1.59,0,18-29,Male,"$20,000 - $39,999",Wed Oct 10 14:15:44 PDT 2018,36,204.193.35.250,40.76080322,-111.891098,80,0,Hillary Clinton,AZ,Democrat,Never,,
A394JO4NEPCY3M,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,39LNWE0K4UWDC867JCO3AM13AVQUIH,Tue Sep 25 12:18:47 PDT 2018,Tue Sep 25 12:19:35 PDT 2018,48,99717,0.04,0,30-39,Female,"$20,000 - $39,999",Wed Oct 10 14:17:22 PDT 2018,31,67.247.162.172,42.86889648,-77.2845993,62,0,Didn't vote,NY,Independent,Never,,
A3OYT57N5WCQKH,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,39O5D9O87TS20B7OCIWGCAD8KDMC3P,Tue Sep 25 12:17:07 PDT 2018,Tue Sep 25 12:28:51 PDT 2018,704,4191,0.49,0.5,30-39,Male,"$40,000 - $59,999",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,
A3FJPXAKQ4OCB4,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,39RP059MEHTKCSNS4050XPGW2J2BMW,Tue Sep 25 12:16:16 PDT 2018,Tue Sep 25 12:21:09 PDT 2018,293,9888,0.05,1,30-39,Male,"$20,000 - $39,999",Wed Oct 10 21:30:31 PDT 2018,461,192.3.231.206,42.88639832,-78.87809753,72,83,Donald Trump,TX,Democrat,A few times a year,,
ABQ4JY52NCREZ,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,3A0EX8ZRN8OK69C6N3TBRK33BTGYB9,Tue Sep 25 12:16:32 PDT 2018,Tue Sep 25 12:22:40 PDT 2018,368,23690,0.11,0,30-39,Male,"$60,000 - $79,999",Wed Oct 10 19:56:35 PDT 2018,67,104.169.253.171,45.1230011,-92.53659821,100,0,Hillary Clinton,WI,Democrat,Never,,
A364577ZH067L4,3BWB13R1231A073YGX8R6HMGHWKAIR,0.25,Tue Sep 25 12:15:58 PDT 2018,203,3A1COHJ8NJVFIGOAAR5DEIIZDRJ8HM,Tue Sep 25 12:18:02 PDT 2018,Tue Sep 25 12:19:26 PDT 2018,84,57786,1.34,0.2,30-39,Male,"$80,000 - $99,999",Thu Oct 11 01:26:32 PDT 2018,53,107.77.223.83,40.74429321,-73.97810364,90,0,Hillary Clinton,PA,Democrat,Never,,
